objectid,geoid10_msa,cnttested,ebll,under6cnttested,under6ebll,under18cnttested,under18ebll,pctebll,pctunder6ebll,pctunder18ebll
1,12980,2902,351,2711,336,2772,337,0.120951068228808,0.123939505717447,0.121572871572872
2,33220,546,5,370,3,408,3,0.0091575091575091,0.0081081081081081,0.0073529411764705
3,43780,607,81,568,77,593,77,0.133443163097199,0.13556338028169,0.129848229342327
4,42300,506,18,328,7,449,7,0.0355731225296443,0.0213414634146341,0.0155902004454343
5,17740,515,56,459,50,472,50,0.10873786407767,0.108932461873638,0.105932203389831
6,32100,552,56,474,55,489,55,0.101449275362319,0.116033755274262,0.112474437627812
7,37020,1610,117,1321,103,1427,104,0.0726708074534162,0.0779712339137017,0.0728801681850035
8,26090,1767,98,1408,74,1638,81,0.055461233729485,0.0525568181818182,0.0494505494505494
9,28020,4807,350,4111,291,4435,303,0.0728104847097982,0.0707856969107273,0.0683201803833145
10,34380,624,30,518,10,553,10,0.0480769230769231,0.0193050193050193,0.0180831826401447
11,27100,2701,288,2526,279,2619,287,0.106627175120326,0.110451306413302,0.109583810614738
12,26340,475,23,430,22,436,22,0.0484210526315789,0.0511627906976744,0.0504587155963303
13,31940,190,13,171,12,182,13,0.068421052631579,0.0701754385964912,0.0714285714285714
14,21540,389,9,365,9,369,9,0.0231362467866324,0.0246575342465753,0.024390243902439
15,44780,910,88,844,76,872,79,0.0967032967032967,0.0900473933649289,0.0905963302752294
16,10300,1369,130,1162,122,1220,123,0.0949598246895544,0.104991394148021,0.100819672131148
17,27020,252,20,237,8,246,8,0.0793650793650794,0.0337552742616034,0.032520325203252
18,10980,316,15,285,13,296,15,0.0474683544303798,0.0456140350877193,0.0506756756756757
19,22420,14461,405,6507,241,9047,275,0.0280063619390084,0.037037037037037,0.0303968166242953
20,33780,1692,90,1324,55,1405,57,0.0531914893617021,0.0415407854984894,0.0405693950177936
21,15620,452,18,390,14,395,14,0.0398230088495575,0.0358974358974359,0.0354430379746835
22,29620,7384,369,6230,301,6629,313,0.0499729144095341,0.048314606741573,0.0472167747774928
23,24340,16021,1284,13897,1084,14512,1132,0.0801448099369577,0.0780024465712024,0.0780044101433297
24,13660,539,23,478,12,504,12,0.0426716141001855,0.0251046025104603,0.0238095238095238
25,13020,1574,92,1355,82,1435,85,0.0584498094027954,0.0605166051660517,0.0592334494773519
26,26960,1119,125,982,96,1035,102,0.111706881143878,0.0977596741344196,0.0985507246376812
27,19820,86550,4885,71535,3845,81199,4221,0.0564413633737724,0.053749912630181,0.0519833988103302
28,35660,2242,165,2045,136,2171,144,0.0735950044603033,0.0665036674816626,0.0663288807001382
29,45900,2269,51,2018,41,2084,43,0.0224768620537682,0.0203171456888008,0.0206333973128599
30,25880,992,76,930,69,953,71,0.0766129032258065,0.0741935483870968,0.074501573976915
31,34740,3216,286,2561,235,2690,256,0.0889303482587065,0.0917610308473253,0.0951672862453532
32,10940,458,13,375,7,393,8,0.0283842794759825,0.0186666666666667,0.0203562340966921
33,40980,3582,183,3184,163,3292,171,0.0510887772194305,0.0511934673366834,0.0519441069258809
34,31220,464,39,429,39,443,39,0.084051724137931,0.0909090909090909,0.0880361173814898
35,11460,3563,103,2951,75,3145,86,0.0289082234072411,0.0254151135208404,0.0273449920508744
